"host_genus_species","Family_Group","sociality","social_score","fam_soc_score","notes","ref"
"Metanephrops_australiensis","NEPHROPIDAE","aggregates","gregarious","gregarious","""high aggregations""","680"
"Metanephrops_boschmai","NEPHROPIDAE","aggregates","gregarious","gregarious","""high aggregations""","680"
"Metanephrops_challengeri","NEPHROPIDAE","aggregates","gregarious","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""","497"
"Metanephrops_velutinus","NEPHROPIDAE","aggregates","unknown","solitary","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""","497"
"Nephrops_norvegicus","NEPHROPIDAE","solitary","solitary","solitary","burrows are aggregated, juveniles tend to use adult burrows, but create a separate part of the burrow to inhabit, seems like something between solitary and aggregate…","682"
"Ucides_cordatus","OCYPODIDAE","solitary","solitary","solitary","larvae use adult chemical cues to trigger metamorphosis, and adult and juvenile burrows are in high density, but they have ""high competition for burrows that show tha tU. Cordatus is territorial""","683"
"Ucides_occidentalis","OCYPODIDAE","solitary","solitary","solitary","""engages in a great deal of highly ritualized agonistic behavior""","684"
"Hyas_coarctatus","OREGONIIDAE","mating_aggregate","repro_aggregate","repro_aggregate","other species in this genus known to aggregate, this one unknown but one ref said it does","685"
"Exopalaemon_modestus","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Macrobrachium_amazonicum","PALAEMONIDAE","female_aggregates","repro_aggregate","repro_aggregate","""females aggregate in breeding grounds…""","687"
"Macrobrachium_intermedium","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Macrobrachium_macrobrachion","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Macrobrachium_nipponense","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Macrobrachium_raridens","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Macrobrachium_vollenhovenii","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Nematopalaemon_hastatus","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Palaemon_adspersus","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Palaemon_gravieri","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Palaemon_macrodactylus","PALAEMONIDAE","solitary","solitary","solitary","adults are solitary, eggs are gregarious??","522"
"Palaemon_pacificus","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Palaemon_paucidens","PALAEMONIDAE",NA,"unknown","gregarious","little info, brief mention of cannibalism in aquaculture setting",NA
"Palaemon_serrifer","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Palaemon_xiphias","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Palaemonetes_paludosus","PALAEMONIDAE",NA,"unknown","gregarious","no info on this sp. but paper says this genus has ""aggregated distribution that allows their capture in commercially attractive quantities also suggests a rather gregarious habit similar to that of their sister genera Nephrops""",NA
"Jasus_lalandii","PALINURIDAE","aggregates","gregarious","gregarious","""In constrast to the clawed lobsters of the family Nephropidae, communal den occupancy and aggregation behavior occurs throughout the family Palinuridae"", ""Spiny lobsters are known to be gregarious"" in relation to culturing this species","681, 697"
"Palinurus_elephas","PALINURIDAE","aggregates","gregarious","gregarious","""In constrast to the clawed lobsters of the family Nephropidae, communal den occupancy and aggregation behavior occurs throughout the family Palinuridae"", ""Spiny lobsters are known to be gregarious"" in relation to culturing this species, females including large adults are gregarious but adult males may be less so","681, 698"
"Palinurus_gilchristi","PALINURIDAE","aggregates","gregarious","gregarious","""In constrast to the clawed lobsters of the family Nephropidae, communal den occupancy and aggregation behavior occurs throughout the family Palinuridae"", not finding info on this species","681"
