sp_code,host_genus_species,search_terms,sp_quote,database,years,num_results,path_search_results,notes
LOG,Sagmariasus_verreauxi,"""Sagmariasus verreauxi"" OR ""Jasus verreauxi "" OR "" Palinurus verreauxi""         ","""Sagmariasus verreauxi""","all, title",1864-2017,65,3,NA
YLW,Scylla_olivacea,"""Scylla olivacea"" OR ""Cancer olivacea""          ","""Scylla olivacea""","all, title",1864-2017,62,2,NA
MUD,Scylla_serrata,"""Scylla serrata"" OR ""Achelous crassimanus"" OR "" Cancer serrata"" OR "" Lupa lobifrons"" OR "" Scylla tranquebarica oceanica""       ","""Scylla serrata""","all, title",1864-2017,871,106,NA
ONJ,Solenocera_acuminata,"""Solenocera acuminata""           ","""Solenocera acuminata""","all, title",1864-2017,1,0,NA
SKK,Solenocera_choprai,"""Solenocera choprai""           ","""Solenocera choprai""","all, title",1864-2017,5,2,NA
SQH,Solenocera_melantho,"""Solenocera melantho"" OR ""Solenocera prominentis""          ","""Solenocera melantho""","all, title",1864-2017,20,0,NA
TZI,Thenus_indicus,"""Thenus indicus""           ","""Thenus indicus""","all, title",1864-2017,0,0,NA
THQ,Thenus_orientalis,"""Thenus orientalis"" OR ""Sagaritis orientalis"" OR "" Scyllarus orientalis"" OR "" Scyllibacus orientalis""        ","""Thenus orientalis""","all, title",1864-2017,59,0,NA
TRV,Trachysalambria_curvirostris,"""Trachysalambria curvirostris"" OR ""Metapenaeus palaestinensis"" OR "" Penaeus curvirostris"" OR "" Trachypenaeus curvirostris""        ","""Trachysalambria curvirostris""","all, title",1864-2017,41,0,NA
UCC,Ucides_cordatus,"""Ucides cordatus"" OR ""Cancer cordatus"" OR "" Cancer uca"" OR "" Ocypode fossor "" OR "" Uca pilosipes""       ","""Ucides cordatus""","all, title",1864-2017,243,9,NA
UCD,Ucides_occidentalis,"""Ucides occidentalis"" OR ""Oedipleura occidentalis""          ","""Ucides occidentalis""","all, title",1864-2017,5,0,NA
UPJ,Upogebia_pusilla,"""Upogebia pusilla"" OR ""Astacus pusillus"" OR "" Gebia lacustris"" OR "" Gebia litoralis"" OR "" Gebia littoralis"" OR "" Gebia venetiarum"" OR "" Gebios littoralis"" OR "" Thalassina littoralis"" OR "" Upogebia litoralis"" OR "" Upogebia littoralis"" OR "" Upogebia pusilla"" ","""Upogebia pusilla""","all, title",1864-2017,46,3,NA
JLA,Xantho_poressa,"""Xantho poressa"" OR ""Alpheus tinctor"" OR "" Cancer levifrons"" OR "" Cancer poressa"" OR "" Cancer tinctor"" OR "" Xantho rivulosa"" OR "" Xantho rivulosus""     ","""Xantho poressa""","all, title",1864-2017,7,0,NA
BOB,Xiphopenaeus_kroyeri,"""Xiphopenaeus kroyeri"" OR ""Penaeus kroyeri"" OR "" Xiphopenaeus hartii""         ","""Xiphopenaeus kroyeri""","all, title",1864-2017,110,0,NA
