sp_code,host_genus_species,search_terms,sp_quote,database,years,num_results,path_search_results,notes
YVB,Charybdis_hellerii,"""Charybdis hellerii"" OR ""Charybdis merguiensis"" OR "" Goniosoma hellerii""         ","""Charybdis hellerii""","all, title",1864-2017,25,2,NA
YBJ,Charybdis_japonica,"""Charybdis japonica"" OR ""Charybdis peitchihiliensis"" OR "" Charybdis sowerbyi"" OR "" Goniosoma japonica""        ","""Charybdis japonica""","all, title",1864-2017,108,3,NA
CDT,Cherax_destructor,"""Cherax destructor""           ","""Cherax destructor""","all, title",1864-2017,226,24,NA
CRP,Cherax_quadricarinatus,"""Cherax quadricarinatus""           ","""Cherax quadricarinatus""","all, title",1864-2017,446,103,NA
CVB,Chionoecetes_bairdi,"""Chionoecetes bairdi""           ","""Chionoecetes bairdi""","all, title",1864-2017,150,47,NA
CRQ,Chionoecetes_opilio,"""Chionoecetes opilio"" OR ""Cancer opilio"" OR "" Cancer phalangivm"" OR "" Chionoecetes behringianus"" OR "" Chionoecetes chilensis"" OR "" Peloplastus pallasi""      ","""Chionoecetes opilio""","all, title",1864-2017,486,37,NA
CSH,Crangon_crangon,"""Crangon crangon"" OR ""Cancer crangon"" OR "" Cancer schillinus"" OR "" Crangon maculosus"" OR "" Crangon rubro "" OR "" Crangon vulgaris"" OR "" Steiracrangon orientalis""     ","""Crangon crangon""","all, title",1864-2017,472,24,NA
GQF,Crangon_franciscorum,"""Crangon franciscorum""           ","""Crangon franciscorum""","all, title",1864-2017,24,1,NA
ERS,Eriocheir_sinensis,"""Eriocheir sinensis"" OR ""Eriocheir sinensis acutifrons"" OR "" Eriocheir sinensis rostrata"" OR "" Eriocheir sinensis rotundifrons "" OR "" Eriocheir sinensis trilobata "" OR "" Grapsus nankin""      ","""Eriocheir sinensis""","all, title",1864-2017,1267,157,NA
AYA,Euastacus_armatus,"""Euastacus armatus""           ","""Euastacus armatus""","all, title",1864-2017,20,0,NA
EXO,Exopalaemon_modestus,"""Exopalaemon modestus""           ","""Exopalaemon modestus""","all, title",1864-2017,29,0,NA
IFJ,Grapsus_adscensionis,"""Grapsus adscensionis"" OR ""Cancer adscensionis"" OR "" Grapsus adscencionis"" OR "" Grapsus pictus ocellatus "" OR "" Grapsus webbi""       ","""Grapsus adscensionis""","all, title",1864-2017,7,0,NA
JAQ,Haliporoides_sibogae,"""Haliporoides sibogae"" OR ""Haliporus sibogae"" OR "" Parahaliporus sibogae""         ","""Haliporoides sibogae""","all, title",1864-2017,12,0,NA
HUY,Hepatus_pudibundus,"""Hepatus pudibundus"" OR ""Calappa angustata"" OR "" Cancer princeps"" OR "" Cancer pudibundus"" OR "" Hepatus calappoides"" OR "" Hepatus fasciatus"" OR "" Hepatus tuberculatus""     ","""Hepatus pudibundus""","all, title",1864-2017,29,2,NA
CHS,Heterocarpus_reedi,"""Heterocarpus reedi""           ","""Heterocarpus reedi""","all, title",1864-2017,31,0,NA
LBA,Homarus_americanus,"""Homarus americanus"" OR ""Astacus americanus"" OR "" Homarus mainensis""         ","""Homarus americanus""","all, title",1864-2017,2095,132,NA
LBE,Homarus_gammarus,"""Homarus gammarus"" OR ""Astacus europaeus"" OR "" Astacus gammarus"" OR "" Cancer gammarus"" OR "" Homarus marinus"" OR "" Homarus vulgaris""      ","""Homarus gammarus""","all, title",1864-2017,536,21,NA
MVH,Hyas_coarctatus,"""Hyas coarctatus"" OR ""Hyas coarctatus coarctatus"" OR "" Hyas serratus"" OR "" Lissa fissirostra""        ","""Hyas coarctatus""","all, title",1864-2017,20,1,NA
IBE,Ibacus_peronii,"""Ibacus peronii"" OR ""Ibacus incisus""          ","""Ibacus peronii""","all, title",1864-2017,10,0,NA
LBC,Jasus_lalandii,"""Jasus lalandii"" OR ""Palinurus lalandii "" OR "" Palinostus lalandii"" OR "" Palinosytus lalandii""        ","""Jasus lalandii""","all, title",1864-2017,177,1,NA
LKG,Leptochela_gracilis,"""Leptochela gracilis"" OR ""Leptochela pellucida""          ","""Leptochela gracilis""","all, title",1864-2017,3,0,NA
KCR,Lithodes_santolla,"""Lithodes santolla"" OR ""Lithodes antarctica"" OR "" Pseudolithodes zenkevitchi""         ","""Lithodes santolla""","all, title",1864-2017,61,8,NA
MBA,Macrobrachium_amazonicum,"""Macrobrachium amazonicum""           ","""Macrobrachium amazonicum""","all, title",1864-2017,173,6,NA
BKI,Macrobrachium_intermedium,"""Macrobrachium intermedium"" OR ""Leander intermedius""          ","""Macrobrachium intermedium""","all, title",1864-2017,3,0,NA
BKB,Macrobrachium_macrobrachion,"""Macrobrachium macrobrachion"" OR ""Palaemon africanus"" OR "" Palemon macrobrachion""         ","""Macrobrachium macrobrachion""","all, title",1864-2017,26,0,NA
MNX,Macrobrachium_nipponense,"""Macrobrachium nipponense""           ","""Macrobrachium nipponense""","all, title",1864-2017,377,22,NA
BJD,Macrobrachium_raridens,"""Macrobrachium raridens"" OR ""Palaemon raridens""          ","""Macrobrachium raridens""","all, title",1864-2017,0,0,NA
BJH,Macrobrachium_vollenhovenii,"""Macrobrachium vollenhovenii""           ","""Macrobrachium vollenhovenii""","all, title",1864-2017,60,2,NA
SCR,Maja_squinado,"""Maja squinado"" OR ""Cancer cornutus"" OR "" Cancer squinado"" OR "" Maja tuberculata""        ","""Maja squinado""","all, title",1864-2017,82,1,NA
STC,Menippe_mercenaria,"""Menippe mercenaria"" OR ""Cancer mercenaria"" OR "" Pseudocarcinus ocellatus""         ","""Menippe mercenaria""","all, title",1864-2017,108,4,NA
DUN,Metacarcinus_magister,"""Metacarcinus magister"" OR ""Cancer_magister""          ","""Metacarcinus magister""","all, title",1864-2017,476,27,NA
MFL,Metanephrops_australiensis,"""Metanephrops australiensis"" OR ""Nephrops australiensis""          ","""Metanephrops australiensis""","all, title",1864-2017,3,0,NA
MFO,Metanephrops_boschmai,"""Metanephrops boschmai"" OR ""Nephrops boschmai""          ","""Metanephrops boschmai""","all, title",1864-2017,1,0,NA
MEC,Metanephrops_challengeri,"""Metanephrops challengeri"" OR ""Nephrops challengeri""          ","""Metanephrops challengeri""","all, title",1864-2017,5,2,NA
MFV,Metanephrops_velutinus,"""Metanephrops velutinus"" OR ""Metanephrops andamanicus""          ","""Metanephrops velutinus""","all, title",1864-2017,4,0,NA
MJB,Metapenaeopsis_barbata,"""Metapenaeopsis barbata"" OR ""Parapenaeus akayebi"" OR "" Penaeus barbatus""         ","""Metapenaeopsis barbata""","all, title",1864-2017,15,0,NA
MTJ,Metapenaeus_affinis,"""Metapenaeus affinis"" OR ""Hymenopenaeus affinis "" OR "" Metapenaeus ivanovi"" OR "" Metapenaeus mutatus"" OR "" Metapenaeus necopinans"" OR "" Penaeus affinis"" OR "" Penaeus mutatis""     ","""Metapenaeus affinis""","all, title",1864-2017,66,3,NA
MPD,Metapenaeus_dobsoni,"""Metapenaeus dobsoni"" OR ""Penaeus dobsoni""          ","""Metapenaeus dobsoni""","all, title",1864-2017,79,4,NA
MPE,Metapenaeus_ensis,"""Metapenaeus ensis"" OR ""Metapenaeus mastersii"" OR "" Metapenaeus philippinensis"" OR "" Penaeus incisipes"" OR "" Penaeus mastersii"" OR "" Penoeus ensis""      ","""Metapenaeus ensis""","all, title",1864-2017,138,14,NA
SHI,Metapenaeus_joyneri,"""Metapenaeus joyneri""           ","""Metapenaeus joyneri""","all, title",1864-2017,15,1,NA
MPN,Metapenaeus_monoceros,"""Metapenaeus monoceros"" OR ""Metapenaeus cognatus"" OR "" Metapenaeus deschampsi"" OR "" Penaeopsis spinulicauda"" OR "" Penaeus monoceros""       ","""Metapenaeus monoceros""","all, title",1864-2017,202,7,NA
MNG,Metapenaeus_stebbingi,"""Metapenaeus stebbingi""           ","""Metapenaeus stebbingi""","all, title",1864-2017,15,0,NA
UDQ,Munida_gregaria,"""Munida gregaria"" OR ""Galathea gregaria"" OR "" Galathea subrugosa "" OR "" Grimothea gregaria"" OR "" Grimothea novae zealandiae "" OR "" Munida australiensis"" OR "" Munida subrugosa"" OR "" Munida subrugosa australiensis""    ","""Munida gregaria""","all, title",1864-2017,51,1,NA
LIO,Necora_puber,"""Necora puber"" OR ""Macropipus puber "" OR "" Liocarcinus puber "" OR "" Cancer puber"" OR "" Cancer velutinus"" OR "" Polybius puber""      ","""Necora puber""","all, title",1864-2017,90,8,NA
NLH,Nematopalaemon_hastatus,"""Nematopalaemon hastatus"" OR ""Palaemon hastatus""          ","""Nematopalaemon hastatus""","all, title",1864-2017,7,1,NA
ISF,Neotrypaea_californiensis,"""Neotrypaea californiensis"" OR ""Callianassa californiensis "" OR "" Callianassa occidentalis""         ","""Neotrypaea californiensis""","all, title",1864-2017,50,4,NA
NEP,Nephrops_norvegicus,"""Nephrops norvegicus"" OR ""Cancer norvegicus""          ","""Nephrops norvegicus""","all, title",1864-2017,627,111,NA
NCM,Notocrangon_antarcticus,"""Notocrangon antarcticus"" OR ""Crangon antarcticus""          ","""Notocrangon antarcticus""","all, title",1864-2017,4,0,NA
OKI,Orconectes_immunis,"""Orconectes immunis""           ","""Orconectes immunis""","all, title",1864-2017,45,2,NA
ORL,Orconectes_limosus,"""Orconectes limosus""           ","""Orconectes limosus""","all, title",1864-2017,381,42,NA
OKN,Orconectes_nais,"""Orconectes nais""           ","""Orconectes nais""","all, title",1864-2017,17,1,NA
OKO,Orconectes_propinquus,"""Orconectes propinquus""           ","""Orconectes propinquus""","all, title",1864-2017,57,2,NA
OKR,Orconectes_rusticus,"""Orconectes rusticus""           ","""Orconectes rusticus""","all, title",1864-2017,224,10,NA
OKV,Orconectes_virilis,"""Orconectes virilis""           ","""Orconectes virilis""","all, title",1864-2017,247,10,NA
OVP,Ovalipes_punctatus,"""Ovalipes punctatus"" OR ""Corystes punctatus "" OR "" Platyonichus bipustulatus""         ","""Ovalipes punctatus""","all, title",1864-2017,29,0,NA
YGM,Pachygrapsus_marmoratus,"""Pachygrapsus marmoratus"" OR ""Cancer femoralis"" OR "" Cancer marmoratus"" OR "" Grapsus savignyi"" OR "" Grapsus varius"" OR "" Leptograpsus bertheloti"" OR "" Pachygrapsus pubescens""     ","""Pachygrapsus marmoratus""","all, title",1864-2017,103,8,NA
PCL,Pacifastacus_leniusculus,"""Pacifastacus leniusculus""           ","""Pacifastacus leniusculus""","all, title",1864-2017,266,261,NA
