sp_quote,sp_code,extent_IUCN,extent_notes,ref
Solenocera acuminata,ONJ,NA,,
Solenocera choprai,SKK,NA,is widely distributed in the Indo-Pacific and reported from eastern coast of Africa  Madagascar  the Gulfs of Suez and Arabia Pakistan India Malaysia the Phillipines Indonesia Taiwan Thailland and north east and southwest Australia ,729
Solenocera melantho,SQH,NA,,
Thenus indicus,TZI,NA,,
Thenus orientalis,THQ,NA,,
Trachysalambria curvirostris,TRV,NA,,
Ucides cordatus,UCC,NA,,
Ucides occidentalis,UCD,NA,,
Upogebia pusilla,UPJ,NA,,
Xantho poressa,JLA,NA,"""has been recorded throughout the entire Mediterranean and Black Seas  as well as in the north-eastern Atlantic Ocean from the Canary Islands to Portugal",729
Xiphopenaeus kroyeri,BOB,NA,,
