sp_quote,sp_code,aquacult,comm_fish
"""Pleoticus muelleri""",LAA,NA,NA
"""Plesionika edwardsii""",LKW,NA,NA
"""Plesionika narval""",PVJ,NA,NA
"""Pleuroncodes monodon""",PQG,NA,NA
"""Pontastacus leptodactylus""",CRD,NA,NA
"""Portunus pelagicus""",SCD,NA,NA
"""Portunus sanguinolentus""",UNG,NA,NA
"""Portunus trituberculatus""",GAZ,NA,NA
"""Procambarus alleni""",RQA,NA,NA
"""Procambarus clarkii""",RCW,yes,NA
"""Procambarus fallax""",RKX,NA,NA
"""Rimapenaeus constrictus""",TKN,NA,NA
"""Romaleon antennarium""",KKN,,NA
"""Sagmariasus verreauxi""",LOG,NA,NA
"""Scylla olivacea""",YLW,NA,NA
"""Scylla serrata""",MUD,NA,NA
"""Solenocera acuminata""",ONJ,NA,NA
"""Solenocera choprai""",SKK,NA,NA
"""Solenocera melantho""",SQH,NA,NA
"""Thenus indicus""",TZI,NA,NA
"""Thenus orientalis""",THQ,NA,NA
"""Trachysalambria curvirostris""",TRV,NA,NA
"""Ucides cordatus""",UCC,NA,NA
"""Ucides occidentalis""",UCD,NA,NA
"""Upogebia pusilla""",UPJ,NA,NA
"""Xantho poressa""",JLA,NA,NA
"""Xiphopenaeus kroyeri""",BOB,NA,1
