"","node","parent","level","fam_soc_score"
"142","solitary","Brachyuran crab","root","NA"
"143","solitary","Brachyuran crab","root","NA"
"144","solitary","Lobster/Crayfish","root","NA"
"145","ontogenetic_gregarious","Lobster/Crayfish","root","NA"
"146","solitary","Lobster/Crayfish","root","NA"
"147","gregarious","Shrimp","root","NA"
"148","repro_aggregate","Brachyuran crab","root","NA"
"149","gregarious","Lobster/Crayfish","root","NA"
"150","solitary","Brachyuran crab","root","NA"
"151","solitary","Brachyuran crab","root","NA"
"152","gregarious","Shrimp","root","NA"
"153","gregarious","Shrimp","root","NA"
"154","gregarious","Shrimp","root","NA"
"155","gregarious","Lobster/Crayfish","root","NA"
"156","gregarious","Lobster/Crayfish","root","NA"
"157","gregarious","Shrimp","root","NA"
"158","solitary","Brachyuran crab","root","NA"
"159","solitary","Brachyuran crab","root","NA"
"160","solitary","Lobster/Crayfish","root","NA"
"161","repro_aggregate","Brachyuran crab","root","NA"
"162","gregarious","Shrimp","root","NA"
