"family","host_type","longev_max","aq_hab","path_search_results","production_type","max_size_mm","invasive","fam_soc_score"
"penaeidae","Shrimp",2.6,"marine",5,"both",NA,"not invasive","gregarious"
"penaeidae","Shrimp",1.25,"marine",6,"capture",NA,"not invasive","gregarious"
"penaeidae","Shrimp",1,"marine",0.5,"neither",NA,"not invasive","gregarious"
"penaeidae","Shrimp",2,"euryhaline",47,"both",NA,"invasive","gregarious"
"penaeidae","Shrimp",2,"marine",861,"both",NA,"not invasive","repro_aggregate"
"penaeidae","Shrimp",0.96,"marine",4,"capture",NA,"not invasive","gregarious"
"penaeidae","Shrimp",2,"marine",27,"both",NA,"invasive","gregarious"
"penaeidae","Shrimp",1.33,"euryhaline",28,"both",NA,"not invasive","gregarious"
"penaeidae","Shrimp",1.7,"euryhaline",73,"both",NA,"invasive","gregarious"
"penaeidae","Shrimp",2.2,"marine",3,"capture",NA,"invasive","gregarious"
"penaeidae","Shrimp",1,"euryhaline",1274,"both",NA,"invasive","gregarious"
"solenoceridae","Shrimp",2.15,"marine",5,"capture",NA,"not invasive","gregarious"
"galatheidae","Anomuran crab",5,"marine",3,"capture",NA,"not invasive","gregarious"
"astacidae","Lobster/Crayfish",7.4,"euryhaline",56,"both",NA,"not invasive","ontogenetic_gregarious"
"portunidae","Brachyuran crab",3,"marine",49,"both",NA,"invasive","solitary"
"portunidae","Brachyuran crab",4,"marine",118,"both",NA,"not invasive","solitary"
"cambaridae","Lobster/Crayfish",3,"fw",0.5,"neither",NA,"not invasive","solitary"
"cambaridae","Lobster/Crayfish",6.5,"euryhaline",119,"both",NA,"invasive","ontogenetic_gregarious"
"cambaridae","Lobster/Crayfish",4.4,"fw",6,"neither",NA,"invasive","solitary"
"portunidae","Brachyuran crab",3.9,"euryhaline",4,"aquaculture",NA,"not invasive","solitary"
"portunidae","Brachyuran crab",4,"euryhaline",102,"both",NA,"not invasive","solitary"
"solenoceridae","Shrimp",2.5,"marine",1,"neither",114,"not invasive","gregarious"
"ocypodidae","Brachyuran crab",17.6,"marine",23,"neither",NA,"not invasive","solitary"
"upogebiidae","Lobster/Crayfish",4,"euryhaline",5,"neither",NA,"not invasive","solitary"
"penaeidae","Shrimp",2.12,"euryhaline",2,"capture",NA,"not invasive","gregarious"
